Geolocation,Name,Description,Address,Landline,Mobile,Website,Email,Borough,Category,Products repaired,Authorised repairer,Qualifications,Independent review link,Other review link,Positive review %,Warranty offered,Pricing information
"51.559642, 0.075747",Ilford Phone Shop,Mobile phone shop,"215 High Road, Ilford IG1 1LX",,07833 444799,None,No,Redbridge,Computers and Home Office,"Phone, Laptop, Desktop",,,https://www.yell.com/biz/ilford-phone-house-ilford-8448429/,,Not assessed,No data,No data
"51.543994, -0.007903",iPlayNTalk,"Phone accessories, screen repairs",Kiosk K22 The Arcade Westfield Stratford City London E20 1EJ,,07868 031623,http://www.ipnt.co.uk/,iplayntalkstratford@gmail.com,Newham,Electronic gadgets,Phone (screen),,,https://www.facebook.com/iPlayNtalkStrtford/reviews,,Not assessed,No data,No data
"51.588813, 0.081252",iRepairs,"iPhones, iPods, iPads and Samsung Smartphone repairs.  Walk in, mail in service","10 High Street, Barkingside, IG6 2DF",,07977 770007,http://www.irepairs.co/,info@irepairs.co,Redbridge,Electronic gadgets,"Desktop (iMac), Laptop (Macbook), Phone (iPhone, Samsung, Sony Xperia), Tablet (iPad), Apple iPod",,,https://www.facebook.com/irepairco/reviews?ref=page_internal,,Not assessed,No data,See website
"51.518495, 0.191135",J&J Computers,Computer shop,"17 Upminster Rd S, Rainham RM13 9YS",01708 525205,,No,No,Havering,Computers and Home Office,"Desktop, Laptop",,,"https://www.google.co.uk/maps/place/J+%26+J+Computer+Services/@51.5184946,0.1911349,15z/data=!4m7!3m6!1s0x0:0x39e8f5f51d80a2e2!8m2!3d51.5184946!4d0.1911349!9m1!1b1",,Not assessed,No data,No data
"51.562508, 0.180497",Jacksons VTRA,"TV repairman, mobile or bring-in service","59 Laurel Crescent, Romford, Essex, RM7 0RU",020 8592 0797,07779 538336,http://www.jacksonsvtra.co.uk/,sales@jacksonsvtra.co.uk,Barking and Dagenham,Home entertainment,"TV, Radio, Audio, DVD, Desktop",,,https://www.yell.com/biz/jacksons-vtra-romford-287730/#reviews,,Not assessed,"""All work that is carried out is ensured with a 3 month guarantee."" from website","""Quotation service"" from website"
"51.558607, 0.069859",Khan Communication,Mobile phone shop,"7 Cranbrook Road, Ilford, IG1 4DU",020 8278 1304,,None,No,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,https://www.yell.com/biz/khan-communication-ilford-7795149/,,Not assessed,No data,No data
"51.554468, 0.072700",Megatek IT Services,"Mobile phone, computer and laptop repairs, on-site, remote or drop-in service","96A, Ilford Lane, Ilford, IG1 2LD",,07459 638196,http://megatek.co.uk/,info@megatek.co.uk,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/Megatek+IT+Services/@51.5528064,0.0728317,16z/data=!4m10!1m2!2m1!1s+!3m6!1s0x0:0xce1f840f2df849e!8m2!3d51.5544676!4d0.0726986!9m1!1b1",,Not assessed,No data,No data
"51.542114, 0.002110",MMA Mobiles,Phone repairs,"Unit 48, Market Village, 70-73 Stratford Centre, E15 1XQ",,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/MMA+Mobiles/@51.541511,0.000596,15z/data=!4m7!3m6!1s0x0:0xea78c51d0bd521d1!8m2!3d51.541511!4d0.000596!9m1!1b1",,Not assessed,No data,No data
"51.539189, 0.081259",Mobile and Laptop Care Centre,Repair shop,"52 Station Parade, Barking, IG11 8EA",,07919 221307,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop",,,https://www.yell.com/biz/mobile-and-laptop-care-centre-barking-8110850/,,Not assessed,No data,No data
"51.536710, 0.081427",Mobile City,Internet Cafe,"31 Ripple Road, Barking, !G11 7NT",020 8507 2798,,No,No,Barking and Dagenham,Electronic gadgets,Phone,,,"https://www.google.co.uk/maps/place/Mobile+City/@51.5362092,0.0815013,18z/data=!4m7!3m6!1s0x0:0x986488d7dac85990!8m2!3d51.5367131!4d0.0814262!9m1!1b1",,Not assessed,No data,No data
"51.551437, 0.048784",Mobile Link,Phone shop,"723 Romford Rd, London E12 5AW",020 8553 3060,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop, iPad, Tablet",,,https://www.facebook.com/MobileLinkLondon/reviews/,,Not assessed,No data,No data
"51.579806, 0.073049",Omega Computers,Computer shop with free WEEE recycling service,"685 Cranbrook Rd, Ilford IG2 6SY",020 8550 9295,,http://www.omegacomputers.co.uk/,No,Redbridge,Computers and Home Office,"Desktop, Laptop",,,"https://www.google.co.uk/maps/place/Omega+Computers/@51.5795039,0.0730343,16.54z/data=!4m7!3m6!1s0x0:0x86b0dceeed7b3d32!8m2!3d51.5798221!4d0.073064!9m1!1b1",,Not assessed,No data,No data
"51.565445, 0.177587",PC Evo,Mobile PC and laptop repairs,"Rush Green Road, Romford RM7 0PX",,07599 500697,http://www.pcevo.co.uk/,sales@pcevo.co.uk,Havering,Computers and Home Office,"Desktop, Laptop (not Mac)",,,http://www.freeindex.co.uk/profile(pc-evo)_380717.htm,,Not assessed,"""We guarantee all the work we carry out. All of the components that we use for repairs and upgrades are guaranteed for 30 days, however, the components themselves actually come with much longer manufactures warranty's, normally 1 - 3 years. We always guarantee all of our work, it being the case that we have no control over what happens to the machine, accidentally or otherwise, from the moment it leaves our possession."" from website","""Mobile service charges from £0 to £30.  Fixed fees for some jobs"" from website"
"51.551953, 0.218667",Peter Neal TV - Audio (Est 1968),TV and Audio repairs,"Electric House, Suttons Lane,Hornchurch, Essex, RM12 6RJ",01708 845011,,http://peterneal.net/,richardlkent@btinternet.com,Havering,Home entertainment,"TV, DVD, Blu-ray, Hi-Fi, Audio, Microwave",,,"https://www.google.co.uk/maps/place/Peter+Neal+Electronic+Services/@51.5519638,0.2181198,19z/data=!4m7!3m6!1s0x47d8bae3f14dded5:0xa15b6eba1a5b8be7!8m2!3d51.551963!4d0.218667!9m1!1b1",,Not assessed,No data,No data
"51.5655594,0.1041953",Redbridge Appliances Ltd,Appliance shop with repair service,"757 High Rd, Ilford IG3 8RN",020 8590 4611,,http://www.redbridgeappliances.co.uk/,sales@redbridgeappliances.co.uk,Redbridge,Kitchen and household,"Washing machine, tumble dryer, dishwasher, fridge, freezer, gas cooker",,,"https://www.google.co.uk/maps/place/Redbridge+Appliances+Ltd/@51.5655594,0.1041953,15z/data=!4m7!3m6!1s0x0:0xac6a78a0f4d88452!8m2!3d51.5655594!4d0.1041953!9m1!1b1",,Not assessed,No data,No data
"51.522167, -0.000291",Repairforce,Mobile domestic repair service,"1b North Crescent, Cody Road Business Park, E16 4TG",020 7055 5300,,http://www.repairforce.co.uk/,info@repairforce.co.uk,Newham,Kitchen and household,"Washing Machine, Microwave, Waste disposal, Extractor Hood, Oven, Cooker, Fridge, Freezer, Dishwasher, Tumble Dryer, ",,,"https://www.google.co.uk/maps/place/Repair+Force/@51.5221711,-0.0002793,15z/data=!4m7!3m6!1s0x0:0xd72ab5a7a9f42bc5!8m2!3d51.5221711!4d-0.0002793!9m1!1b1",,Not assessed,"""All our repairs are covered with a 3 month parts and labour warranty"" from website","See website, fixed labour charges for some repairs"
"51.591467, 0.082876",Sthira Global Cell,Mobile phone shop,"105 High St, Ilford IG6 2AH",020 8551 0066,,None,No,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/The+Sthira+Global+Cell/@51.5915108,0.0831337,18z/data=!4m7!3m6!1s0x47d8a6ae2cf35cc3:0x8abaeb81d4b6eb09!8m2!3d51.5914039!4d0.0828813!9m1!1b1",,Not assessed,No data,No data
"51.540032, -0.004175",Stratford Computer Fair,"Sunday Fair with several independant stallholders offering PC, laptop, games console and phone repair services","98 Gibbins Road, E15 2HU",020 8534 7347,07958 428 447,http://www.stratfordcomputerfair.net/,,Newham,Computers and Home Office,"Desktop, Laptop, Tablet, Console",,,https://www.yelp.co.uk/biz/stratford-computer-fair-london,,Not assessed,No data,No data
"51.578510, 0.184193",Tech House,Phone accessories and screen replacement,"The Mercury Shopping Centre, Mercury Gardens, Romford RM1 3EE",01708 733620,,http://techhouse.com/store-locator/,No,Havering,Electronic gadgets,Phone (screen),,,https://www.facebook.com/TechHouseUK/reviews,,Not assessed,No data,"""£49.99 for screen repair"" from website"
"51.536485, 0.077091",Technobiz,Phone shop,"19 East Street, Barking, Essex, IG11 8ER",020 8591 5566,,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop, iPad",,,https://www.yell.com/biz/technobiz-barking-barking-8254085/,,Not assessed,No data,No data
"51.542091, 0.147666",Teem Communications,Internet Cafe,"275 Heathway, Dagenham RM9 5AQ",020 8595 2887,,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop",,,"https://www.google.co.uk/maps/place/Teem+Communication/@51.5420906,0.1454775,17z/data=!4m7!3m6!1s0x47d8a50eb09dac51:0xc2294911c3920cbd!8m2!3d51.5420906!4d0.1476662!9m1!1b1",,Not assessed,No data,No data
"51.528886, 0.190169",The Computer Hospital,"Computer, PC and Phone repairs","78 Rainham Rd, Rainham RM13 7RL",01708 553310,,No,No,Havering,Computers and Home Office,"Desktop, Laptop, Phone",,,"https://www.google.co.uk/maps/place/The+Computer+Hospital/@51.528878,0.1902184,15.79z/data=!4m7!3m6!1s0x0:0xce7cbaf12ca5a97b!8m2!3d51.5288949!4d0.1902003!9m1!1b1",,Not assessed,No data,No data
"51.560940, 0.220649",Tucker Bros. Ltd,Appliance shop and repairs,"32 Station Lane, Hornchurch, RM12 6JR",01708 443462,,http://www.euronics.co.uk/retailer/tucker-brothers-limited-10085a,No,Havering,Kitchen and household,Not clear,,,"https://www.google.co.uk/maps/place/Tucker+Bros+Ltd/@51.560953,0.2209068,15z/data=!4m7!3m6!1s0x0:0xa1ac970be99e0649!8m2!3d51.5610038!4d0.2207202!9m1!1b1",,Not assessed,No data,No data
"51.556126, 0.119481",Vac Doctors,Vacuum cleaner centre,"191 Becontree Avenue, RM8 2UR",020 8590 7711,,http://www.vacdoc.co.uk/,info@vacdoc.co.uk,Barking and Dagenham,Kitchen and household,Vacuum cleaner,"AEG Floorcare, BISSELL, DELONGHI, ELECTROLUX Floorcare, KARCHER, KENWOOD Small Appliances, VAX",,"https://www.google.co.uk/maps/place/Vac+Doctors/@52.6407769,0.255996,8z/data=!4m10!1m2!2m1!1svac+doc!3m6!1s0x0:0x29421ee89efff32!8m2!3d51.5561553!4d0.1194763!9m1!1b1?hl=en",,Not assessed,No data,No data
"51.532941,0.036504",W H TV & Video,Television and Video repair,"470 Green Street, Upton Park, London E13 9DB",020  8471 0461,,http://whtvandvideo.co.uk/,info@gadcet.com,Newham,Home entertainment,"TV, LCD TV, LED TV, DVD, DVD Recorder, Hi-Fi, Portable Audio Equipment, VCR's, Digital Satellite Receiver, Sky Digi Box, TFT, LCD & Plasma Screen, Remote Control, Microwave Oven, Desktop.",,,"https://www.google.co.uk/maps/place/WH+TV+and+VIDEO/@51.5329418,0.0359568,19z/data=!4m15!1m7!3m6!1s0x0:0x0!2zNTHCsDMxJzU4LjYiTiAwwrAwMicxMS40IkU!3b1!8m2!3d51.532941!4d0.036504!3m6!1s0x47d8a7c88c220b05:0xb386e8481de0d981!8m2!3d51.532941!4d0.036504!9m1!1b1",,Not assessed,No data,"""Diagnostic prices from £5-£40"" fromwebsite"
"51.535386, 0.035526",Walk & Talk Mobile Ltd,Phone shop,"4 Station Parade, Upton Park, E13 9AT",020 8552 7700,,No,No,Newham,Electronic gadgets,Phone,,,"https://www.google.co.uk/maps/place/Walk+%26+Talk+Mobile+Ltd/@51.5353829,0.0354937,16z/data=!4m7!3m6!1s0x0:0xe43385cf3e5a9252!8m2!3d51.5353962!4d0.0355366!9m1!1b1",,Not assessed,No data,No data
"51.5929552,0.1658667",Warren Domestics,Domestic appliance servicing,"168 Collier Row Ln, Romford RM5 3EA",01708 765370,07929 115 665,http://www.warrendomestics.co.uk/,info@warrendomestics.co.uk,Havering,Kitchen and household,"Washing machine, Cooker",,,"https://www.google.co.uk/maps/place/Warren+Domestics/@51.5929552,0.1658667,15z/data=!4m7!3m6!1s0x0:0x30910601a52fb7f7!8m2!3d51.5929552!4d0.1658667!9m1!1b1",,Not assessed,No data,No data
